ad_id,click,view,ctr
112583,580436.0,1934788.0,0.29999979325900306
119450,258.0,1254.0,0.20574162679425836
38575,43.0,257.0,0.16731517509727625
40968,29.0,217.0,0.1336405529953917
45642,42.0,344.0,0.12209302325581395
110924,11.0,95.0,0.11578947368421053
45043,28.0,245.0,0.11428571428571428
35034,112.0,997.0,0.1123370110330993
4585,53.0,476.0,0.11134453781512606
120347,236.0,2168.0,0.1088560885608856
